x, y
-67.54385964912281, 0.004660452729693742
-51.8859649122807, 0.019573901464713713
-35.30701754385965, 0.029826897470039946
-15.964912280701753, 0.06431424766977363
-4.9122807017543835, 0.10812250332889481
3.9912280701754383, 0.1621837549933422
13.201754385964918, 0.21904127829560585
14.429824561403507, 0.27869507323568576
23.026315789473685, 0.3355525965379494
29.780701754385973, 0.3933422103861518
35, 0.45206391478029295
38.99122807017544, 0.5191744340878828
48.50877192982456, 0.6105193075898802
56.49122807017544, 0.6711051930758988